DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	58	0	0	52.0718	0	0
DL	0.00405357	0	4	0	2	1	1	2	0	58	0	0	48.2074	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	58	0	0	52.0589 	0	0
UL	0.00505357	0	5	0	2	1	1	2	0	58	0	0	48.185 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2104	28	0	52.2068	0	0
DL	0.00580357	0	5	3	2	1	1	2	0	2104	28	0	48.2017	0	0
UL	0.006875	0	6	3	1	6	1	1	0	12612	28	0	52.2948 	0	0
UL	0.00698214	0	6	3	7	6	1	2	0	12612	28	0	47.7763 	0	0
UL	0.007125	0	7	0	1	6	1	1	0	12612	28	0	52.3261 	0	0
UL	0.00723214	0	7	0	7	6	1	2	0	12612	28	0	47.7452 	0	0
UL	0.007375	0	7	1	1	6	1	1	0	12612	28	0	52.4333 	0	0
UL	0.00748214	0	7	1	7	6	1	2	0	12612	28	0	47.7659 	0	0
DL	0.00758928	0	7	2	1	4	1	1	0	8410	28	0	52.5068	0	0
UL	0.00766071	0	7	2	5	4	1	1	0	8410	28	0	52.4556 	0	0
UL	0.00773214	0	7	2	9	4	1	2	0	8410	28	0	47.7437 	0	0
DL	0.00782143	0	7	3	1	3	1	1	0	6306	28	0	52.5213	0	0
DL	0.007875	0	7	3	4	3	1	2	0	6306	28	0	47.7011	0	0
UL	0.00792857	0	7	3	7	3	1	1	0	6306	28	0	52.4576 	0	0
UL	0.00798214	0	7	3	10	3	1	2	0	6306	28	0	47.7638 	0	0
DL	0.00807143	0	8	0	1	3	1	1	0	6306	28	0	52.3986	0	0
DL	0.008125	0	8	0	4	3	1	2	0	6306	28	0	47.756	0	0
UL	0.00817857	0	8	0	7	3	1	1	0	6306	28	0	52.3913 	0	0
UL	0.00823214	0	8	0	10	3	1	2	0	6306	28	0	47.7443 	0	0
DL	0.00832143	0	8	1	1	3	1	1	0	6306	28	0	52.3948	0	0
DL	0.008375	0	8	1	4	3	1	2	0	6306	28	0	47.7687	0	0
UL	0.00842857	0	8	1	7	3	1	1	0	6306	28	0	52.3693 	0	0
UL	0.00848214	0	8	1	10	3	1	2	0	6306	28	0	47.7543 	0	0
DL	0.00857143	0	8	2	1	3	1	1	0	6306	28	0	52.356	0	0
DL	0.008625	0	8	2	4	3	1	2	0	6306	28	0	47.6804	0	0
UL	0.00867857	0	8	2	7	3	1	1	0	6306	28	0	52.365 	0	0
UL	0.00873214	0	8	2	10	3	1	2	0	6306	28	0	47.7608 	0	0
DL	0.00882143	0	8	3	1	3	1	1	0	6306	28	0	52.3651	0	0
DL	0.008875	0	8	3	4	3	1	2	0	6306	28	0	47.7612	0	0
UL	0.00892857	0	8	3	7	3	1	1	0	6306	28	0	52.4125 	0	0
UL	0.00898214	0	8	3	10	3	1	2	0	6306	28	0	47.7466 	0	0
DL	0.00907143	0	9	0	1	3	1	1	0	6306	28	0	52.3804	0	0
DL	0.009125	0	9	0	4	3	1	2	0	6306	28	0	47.7923	0	0
